taxon;lon;lat
"Prepusa montana Mart.";0;0
"Prepusa montana Mart.";0;0
"Prepusa montana Mart.";0;0
"Prepusa montana Mart.";0;0
"Prepusa montana Mart.";-41.366667;-13
"Prepusa montana Mart.";-41.366667;-13
"Prepusa montana Mart.";-41.1166667;-11.45
"Prepusa montana Mart.";-41.079722;-11.6175
"Prepusa montana Mart.";-43.8177777;-21.7102777
"Prepusa montana Mart.";-41.2;-11.5833333
"Prepusa montana Mart.";-41.0013889;-11.6358334
"Prepusa montana Mart.";-41.281667;-13.227778
"Prepusa montana Mart.";-41.3;-12.683333
"Prepusa montana Mart.";-40.9291667;-11.6427777
"Prepusa montana Mart.";-41.0008333;-11.6233334
"Prepusa montana Mart.";-41.4;-13
"Prepusa montana Mart.";-41.3727778;-13.0130556
"Prepusa montana Mart.";-41.336139;-13.07775
"Prepusa montana Mart.";-41.306389;-12.881667
"Prepusa montana Mart.";-41.195833;-11.435
"Prepusa montana Mart.";-41.012278;-11.499694
"Prepusa montana Mart.";-41.366667;-13
"Prepusa montana Mart.";-41.2075;-11.591667
"Prepusa montana Mart.";-41.375278;-13.077222
"Prepusa montana Mart.";-41.1925;-11.44
"Prepusa montana Mart.";-41.211667;-11.5975
"Prepusa montana Mart.";-41.211667;-11.5975
