"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.44434444;0.44434444;0.44444444;-1e-04;0.44434444;0.44454444;0.99;0.98;"BioClim";10
0.86413576;0.86413576;0.86413576;0.15535632;0.86413576;0.8701181;0.93;0.93;"maxent";10
-1e-04;-1e-04;-1e-04;-1e-04;0.11101111;0.11101111;0.44;0;"BioClim";1
0.90076806;0.90076806;0.90076806;0.12017489;0.90076806;0.90429218;0.99;0.99;"maxent";1
-1e-04;-1e-04;-1e-04;-1e-04;0.22212222;0.22212222;0.475;0;"BioClim";2
0.78995969;0.78995969;0.78995969;0.12607867;0.78995969;0.79663731;0.81;0.81;"maxent";2
0.22212222;0.22212222;0.22212222;-1e-04;0.22212222;0.44434444;0.91;0.84;"BioClim";3
0.6415201;0.6415201;0.6415201;0.10583297;0.65463169;0.65463169;0.42;0.42;"maxent";3
-1e-04;-1e-04;-1e-04;-1e-04;0.22212222;0.22212222;0.45;0;"BioClim";4
0.60677041;0.60677041;0.60677041;0.11206927;0.61185254;0.61185254;0.46;0.46;"maxent";4
-1e-04;-1e-04;-1e-04;-1e-04;0.11101111;0.11101111;0.465;0;"BioClim";5
0.05633236;0.05633236;0.05633236;0.01707728;0.05680796;0.05680796;0.3;0.3;"maxent";5
0.22212222;0.22212222;0.22222222;-1e-04;0.22212222;0.22232222;0.99;0.99;"BioClim";6
0.89226093;0.89226093;0.89226093;0.14823985;0.89226093;0.89353754;0.97;0.97;"maxent";6
-1e-04;-1e-04;-1e-04;-1e-04;0.11101111;0.11101111;0.435;0;"BioClim";7
0.7525387;0.7525387;0.7525387;0.12855506;0.7525387;0.75764527;0.57;0.57;"maxent";7
-1e-04;-1e-04;-1e-04;-1e-04;0.22212222;0.22212222;0.435;0;"BioClim";8
0.82273747;0.82273747;0.82273747;0.12073887;0.82273747;0.82422824;0.79;0.79;"maxent";8
-1e-04;-1e-04;-1e-04;-1e-04;0.11101111;0.11101111;0.425;0;"BioClim";9
0.89353456;0.89353456;0.89353456;0.05538691;0.89353456;0.89487781;0.97;0.97;"maxent";9
